Page Number,Text,Company_Type,City,Company_Name,Address,Building,Full_Address,Latitude,Longitude
2,"Henry Martyn Clarke, 50 State",Real Estate,Boston,"Henry Martyn Clarke,",50 State,,"50 State, Boston",,
2,"John Chandler Cobb, 60 State",Real Estate,Boston,"John Chandler Cobb,",60 State,,"60 State, Boston",,
2,"B. F. Cobleigh  Co., Roslindalr",Real Estate,Boston,"B. F. Cobleigh  Co., Roslindalr",,,,,
2,"ohard . Cochran, Forest Hills",Real Estate,Boston,"ohard . Cochran, Forest Hills",,,,,
2,"m. David Cochrane, 63 State",Real Estate,Boston,"m. David Cochrane,",63 State,,"63 State, Boston",,
2,"Codman  Street, 16 State",Real Estate,Boston,"Codman  Street,",16 State,,"16 State, Boston",-37.8157151,145.0777572
2,"Charlies S Coffin, Dorchester",Real Estate,Boston,"Charlies S Coffin, Dorchester",,,,,
2,"Coffin  Taber, 24 Milk",Real Estate,Boston,"Coffin  Taber,",24 Milk,,"24 Milk, Boston",42.35686388888889,-71.05781888888889
2,"Wm. H. Colcord, 60 State",Real Estate,Boston,"Wm. H. Colcord,",60 State,,"60 State, Boston",,
2,"Geo. A. Cole, 50 Congress",Real Estate,Boston,"Geo. A. Cole,",50 Congress,,"50 Congress, Boston",42.3580051,-71.05599075644182
2,"Coleman  Gilbert, 319 Huntn. ave.",Real Estate,Boston,"Coleman  Gilbert,",319 Huntn. ave.,,"319 Huntn. ave., Boston",,
2,"Henry F. Coles, Devonshire",Real Estate,Boston,"Henry F. Coles, Devonshire",,,,,
2,"A. LD. Collins, 84 School",Real Estate,Boston,"A. LD. Collins,",84 School,,"84 School, Boston",,
2,"Colonial Real Hstate Co., Dorchester",Real Estate,Boston,"Colonial Real Hstate Co., Dorchester",,,,,
2,"Commonwealth Realty Co., 58 State",Real Estate,Boston,"Commonwealth Realty Co.,",58 State,,"58 State, Boston",,
2,"Charlies M. Conane, 40 Old South building",Real Estate,Boston,"Charlies M. Conane, 40 Old South building",, 40 Old South building," 40 Old South building, Boston",,
2,"Edward D. Conant, 4 P. O. Square",Real Estate,Boston,"Edward D. Conant,",4 P. O. Square,,"4 P. O. Square, Boston",,
2,"Thos. Condon, W. Roxbury",Real Estate,Boston,"Thos. Condon, W. Roxbury",,,,,
2,"Joseph Congdon, 830 Old South building.",Real Estate,Boston,"Joseph Congdon, 830 Old South building.",, 830 Old South building," 830 Old South building, Boston",,
2,"Harrison W. Conner, 294 Washington",Real Estate,Boston,"Harrison W. Conner,",294 Washington,,"294 Washington, Boston",45.5153672,-122.837946
2,"H. B. J. Connington, 40 State",Real Estate,Boston,"H. B. J. Connington,",40 State,,"40 State, Boston",42.2879799,-71.0955197
2,"B. J. Connolly, 18 Tremont",Real Estate,Boston,"B. J. Connolly,",18 Tremont,,"18 Tremont, Boston",42.37655895,-71.05890117343729
2,"Charies B. Cotting, 809 Barstrs. Hal",Real Estate,Boston,"Charies B. Cotting,",809 Barstrs. Hal,,"809 Barstrs. Hal, Boston",,
2,"Estate of Frank B. CUvtton, 131 State",Real Estate,Boston,"Estate of Frank B. CUvtton,",131 State,,"131 State, Boston",40.81468785575194,-72.99655027038511
2,"Frank W. Coughlin, 294 Washington",Real Estate,Boston,"Frank W. Coughlin,",294 Washington,,"294 Washington, Boston",45.5153672,-122.837946
2,"nome pe Cowan, 209 Washington",Real Estate,Boston,"nome pe Cowan,",209 Washington,,"209 Washington, Boston",47.6380627,-122.352658
2,"8 M. Cox, 425 Old South building.",Real Estate,Boston,"8 M. Cox, 425 Old South building.",, 425 Old South building," 425 Old South building, Boston",,
2,"Thomas H. Cox, 714 Shawmut ave.",Real Estate,Boston,"Thomas H. Cox,",714 Shawmut ave.,,"714 Shawmut ave., Boston",42.3330601,-71.083064
2,"Crawford Real Estate Co., Dorchester",Real Estate,Boston,"Crawford Real Estate Co., Dorchester",,,,,
2,"Credle’s Real Est. Combination, 61",Real Estate,Boston,"Credle’s Real Est. Combination,",61,,"61, Boston",-34.75591208163265,-58.37480106122449
2,"Shawmut aye,",Real Estate,Boston,"Shawmut aye,",,,,,
2,"David W. Creed, 205 Dorchester",Real Estate,Boston,"David W. Creed,",205 Dorchester,,"205 Dorchester, Boston",42.31612785,-71.08437137298296
2,"Daniel J. Cronin, 15 State -",Real Estate,Boston,"Daniel J. Cronin,",15 State -,,"15 State -, Boston",,
2,J. A. Cronin  Co. 126 Mass. ave.,Real Estate,Boston,J. A. Cronin  Co.,126 Mass. ave.,,"126 Mass. ave., Boston",42.284260599999996,-71.08348783614787
2,"Cronin  Schuyler, 15 State",Real Estate,Boston,"Cronin  Schuyler,",15 State,,"15 State, Boston",,
2,"Horace S. Crowell, 60 State",Real Estate,Boston,"Horace S. Crowell,",60 State,,"60 State, Boston",,
2,"James J. Crowley, 28 State",Real Estate,Boston,"James J. Crowley,",28 State,,"28 State, Boston",42.0671435,-73.5291416
2,"Watson G. Cutter  Sons, 16 State",Real Estate,Boston,"Watson G. Cutter  Sons,",16 State,,"16 State, Boston",-37.8157151,145.0777572
2,"Peter Dally, 120 Boylston",Real Estate,Boston,"Peter Dally,",120 Boylston,,"120 Boylston, Boston",42.31761255,-71.10365034021692
2,"Daniel J. Daly, Dorchester",Real Estate,Boston,"Daniel J. Daly, Dorchester",,,,,
2,"Franklin_P. Daly, 101 Tremont",Real Estate,Boston,"Franklin_P. Daly,",101 Tremont,,"101 Tremont, Boston",42.3572206,-71.0610355
2,"Levi A. Dame, 7 Water",Real Estate,Boston,"Levi A. Dame,",7 Water,,"7 Water, Boston",,
2,"Meyer Dana, 481 Kimball building.",Real Estate,Boston,"Meyer Dana, 481 Kimball building.",, 481 Kimball building," 481 Kimball building, Boston",,
2,"Samuel L. Dana, 34 School",Real Estate,Boston,"Samuel L. Dana,",34 School,,"34 School, Boston",,
2,"Juilus Dangel, 1024 Old South building.",Real Estate,Boston,"Juilus Dangel, 1024 Old South building.",, 1024 Old South building," 1024 Old South building, Boston",,
2,"8. M. Danielson, 752 Old South building.",Real Estate,Boston,"8. M. Danielson, 752 Old South building.",, 752 Old South building," 752 Old South building, Boston",,
2,"Wm. A. Davidson, 100 St. Marys",Real Estate,Boston,"Wm. A. Davidson,",100 St. Marys,,"100 St. Marys, Boston",52.8990833,-0.0867969
2,"George Davis, 70 State",Real Estate,Boston,"George Davis,",70 State,,"70 State, Boston",42.684560450000006,-78.76593268321099
2,"iL. Shannon Davis, 612 Barstrs. Hall",Real Estate,Boston,"iL. Shannon Davis,",612 Barstrs. Hall,,"612 Barstrs. Hall, Boston",,
2,"Ww. J. M. De Angelis, Dorchester",Real Estate,Boston,"Ww. J. M. De Angelis, Dorchester",,,,,
2,"Geo. L, DeBlofs, 80 Kilby",Real Estate,Boston,"Geo. L, DeBlofs,",80 Kilby,,"80 Kilby, Boston",42.3576985,-71.055081
2,"W. T. Delaney, 614 Tremont",Real Estate,Boston,"W. T. Delaney,",614 Tremont,,"614 Tremont, Boston",42.34250865,-71.07383190864726
2,"Raymond P. Delano, Upham's Cor.",Real Estate,Boston,"Raymond P. Delano, Upham's Cor.",,,,,
2,"EE. M. Dennen, 88 Dartmouth",Real Estate,Boston,"EE. M. Dennen,",88 Dartmouth,,"88 Dartmouth, Boston",42.34540538461538,-71.07513169230769
2,"Roberts B. Denny, 143 Federal",Real Estate,Boston,"Roberts B. Denny,",143 Federal,,"143 Federal, Boston",-34.61421990803847,-58.508656487706475
2,"Hector H. Desnoyers, 1160 Tremont bic",Real Estate,Boston,"Hector H. Desnoyers,",1160 Tremont bic,,"1160 Tremont bic, Boston",,
2,"Clifford Devens, 54 Devonshire",Real Estate,Boston,"Clifford Devens,",54 Devonshire,,"54 Devonshire, Boston",42.3582474,-71.0571837
2,James V. Devine. Dorchester,Real Estate,Boston,James V. Devine. Dorchester,,,,,
2,"Wallace D. Dexter, 50 Congress",Real Estate,Boston,"Wallace D. Dexter,",50 Congress,,"50 Congress, Boston",42.3580051,-71.05599075644182
2,"Robert L. Dickson, 826 Old South building",Real Estate,Boston,"Robert L. Dickson, 826 Old South building",, 826 Old South building," 826 Old South building, Boston",,
2,"Geo. A. Dill, 401 Tremont building.",Real Estate,Boston,"Geo. A. Dill, 401 Tremont building.",, 401 Tremont building," 401 Tremont building, Boston",,
2,OSTON—Continucd.,Real Estate,Boston,OSTON—Continucd.,,,,,
